"1 3 2 1 4 1","1"
"10 20 10 20 30 20 20","20"
"1 2 2 4 1","2"
"-1 -1 -2 -2 -2","-2"
"0 0 1 1 1","1"
"42","42"
"","-1"
"1 1 2 2 3 3 3 2 2","2"
"9 8 7 6 5 4 3 2 1 1 2 3 4 5 6 7 8 9 9 9","9"
"-1 -2 -3 -4 -4 -4 -4 -2 -2 -2 -2","-2"
"2 2 2 3 3 3 3 3 1 1 1","3"
"99 98 97 99 98 97 99 98 97","99"
"100 200 100 300 100 200 200 300 300 300","300"
"3 3 3 4 4 4 5 5 5 5","5"
"9 9 8 8 7 7 6 6 5 5 4 4 3 3 2 2 1 1 0 0","9"
"999 888 777 999 888 777 999 888 777 999","999"
"5 3 2 5 1 3 5 2 1 4 4 4 4 4 6 7 8 5 3 2 4 4 4 4 4 5 5 5 9 10 11 12 13 14 15 16 17 5 3 3 3 3 3 3 3 3 3 3 3 3","3"
"1 2 3 4 5 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 5","5"
"10 10 20 10 30 20 30 10 30 20 30 10 20 10 20 30 40 50 60 70 10 10 10 10 10 20 30 20 30 20 30 20 30 20 30 40 50 60 70 80 90 100 10 10 10 10 10 10 10 10 10","10"
"-1 -1 -2 -3 -4 -5 -1 -1 -2 -3 -1 -1 -1 -2 -2 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4","-4"
"100 200 300 400 500 100 200 100 300 100 100 200 300 400 500 600 700 800 900 1000 100 100 100 200 300 200 300 200 300 200 300 200 300 400 500 600 700 800 900 1000 1100 1200 100 100 100 100 100 100 100 100 100","100"
"5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5","5"
"1 1 2 3 4 5 6 7 8 9 0 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10","1"
"1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10 10 11 11 11 11 12 12 12 12 13 13 13 13 13","13"
"20 21 22 23 24 25 26 27 28 29 30 20 21 22 23 24 25 26 27 28 29 30 20 21 22 23 24 25 26 27 28 29 30 20 21 22 23 24 25 26 27 28 29 30 20 21 22 23 24 25 26 27 28 29 30 30","30"
"9 8 7 6 5 4 3 2 1 0 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9","9"
