"1 2","3","0 1"
"2 7 11 15","9","0 1"
"3 2 4","6","1 2"
"3 3","6","0 1"
"5 3 10 1 2","11","2 3"
"-1 0 2 4","1","0 2"
"1 5 3 7 8","9","0 4"
"10 15 20 25","40","1 3"
"100 200 300","500","1 2"
"7 14 21","28","0 2"
"0 1 5","5","0 2"
"-10 -5 -3 -1 0 2 3 5 7 9 11 13","-15","0 1"
"-20 -15 -10 1 3 8 12 20 25 30","-2","2 5"
"1 2 4 8 16 32 64 128","96","5 6"
"10 20","30","0 1"
"1 2 3","4","0 2"
"10 22 28 29 30 41","50","1 2"
"1 3 6","7","0 2"
"5 7 11 14","18","1 2"
"1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2","3","0 61"
